t_bin,current_a,current_std,current_sigma_a,delta_f_hz,delta_f_sigma_hz,common_mode_hz,f_left_hz,f_right_hz,n
120,506.40114628000003,0.11079393599591458,0.1401663992,45476517.954,11931.3802828,2870758735.4,2848020476.4,2893496994.4,5
121,506.34581767500003,0.08767580917142165,0.17939607624999998,45471808.2225,15270.7269275,2870762829.0,2848026924.25,2893498732.75,4
122,506.33072138,0.110670264950136,0.18331234859999998,45470523.177999996,15604.091648000001,2870757943.4,2848022681.8,2893493205.2,5
123,506.3480033166666,0.12691135637840406,0.16656967316666668,45471994.27,14178.905408333332,2870761268.6666665,2848025271.3333335,2893497265.6666665,6
124,506.35380843333337,0.14198666645252042,0.13794437066666668,45472488.416666664,11742.234607333332,2870756891.6666665,2848020647.5,2893493135.8333335,6
125,506.44528603333333,0.024127097965650268,0.17646240700000002,45480275.26666667,15021.004326666667,2870760819.3333335,2848020682.0,2893500957.3333335,3
126,506.4523368333333,0.09543568283933605,0.13739232816666666,45480875.446666665,11695.243121666666,2870758043.3333335,2848017605.5,2893498481.1666665,6
127,506.43263984000004,0.16326364264692755,0.1685038784,45479198.782,14343.550698000001,2870759419.6,2848019820.6,2893499019.0,5
128,506.4617546333333,0.07317853372829362,0.1315090875,45481677.11833333,11194.444208,2870759642.1666665,2848018803.3333335,2893500480.6666665,6
129,506.48488150000003,0.054465713979660914,0.1780648165,45483645.745,15157.406175,2870755936.0,2848014113.0,2893497759.0,4
130,506.4252856166667,0.08330137859812431,0.13337935850000002,45478572.76666667,11353.647234999999,2870758320.5,2848019034.3333335,2893497607.0,6
131,506.49993304,0.11030369684077818,0.1285849386,45484926.975999996,10945.5319734,2870761522.4,2848019058.8,2893503986.0,5
132,506.44868464,0.09873545182555701,0.1648419164,45480564.562,14031.83362,2870760930.4,2848020648.2,2893501212.8,5
133,506.407925525,0.06752278711789539,0.1381986185,45477095.025,11763.876935,2870758384.0,2848019836.5,2893496931.5,4
134,506.46687430000003,0.08018854794104983,0.1327374298,45482112.92,11299.004332,2870762489.2,2848021433.0,2893503545.8,5
135,506.47975049999997,0.0662321318716204,0.09393521849999999,45483208.98333333,7996.044827999999,2870760446.5,2848018842.1666665,2893502051.0,6
136,506.53162499999996,0.023129669377116677,0.1084309744,45487624.692,9229.966655,2870761233.0,2848017420.6,2893505045.2,5
137,506.52578456000003,0.13911931912331688,0.1297190554,45487127.538,11042.071334600001,2870761493.0,2848017929.2,2893505056.8,5
138,506.40635347999995,0.06545165053742424,0.13790887140000002,45476961.21,11739.2128316,2870761015.0,2848022534.4,2893499495.8,5
139,506.54545291666665,0.07513495624646183,0.11416060533333333,45488801.76833334,9717.689863333333,2870757800.5,2848013399.3333335,2893502201.1666665,6
140,506.416422075,0.10374585580382903,0.12209258225,45477818.275,10392.88330675,2870758374.75,2848019465.5,2893497284.0,4
141,506.50431947999994,0.09527254603875673,0.1129884132,45485300.364,9617.9093974,2870760837.4,2848018187.6,2893503487.6,5
142,506.5994173857143,0.10010040838752812,0.10020417457142858,45493395.38142858,8529.677007857143,2870759796.0,2848013098.0,2893506493.428571,7
143,506.54684524000004,0.22838151210040572,0.2075402068,45488920.282,17666.438946000002,2870764656.0,2848020196.0,2893509116.4,5
144,506.5075832333334,0.018027712250949134,0.24547077966666667,45485578.18666667,20895.20199,2870760886.0,2848018097.0,2893503675.3333335,3
145,506.59786056666667,0.08928372390620304,0.11894869416666666,45493262.86000001,10125.266207666666,2870761687.5,2848015055.8333335,2893508318.6666665,6
146,506.57980756666666,0.09325321844133702,0.12724925883333335,45491726.135,10831.834932,2870763219.1666665,2848017356.1666665,2893509082.1666665,6
147,506.6363642833333,0.12730794631917708,0.1811991935,45496540.41166667,15424.213613333333,2870760435.3333335,2848012165.1666665,2893508705.3333335,6
148,506.656991,0.08434396094403417,0.128628142,45498296.22,10949.209566,2870761733.3333335,2848012585.3333335,2893510881.6666665,3
149,506.6498844,0.13286568889566985,0.157593012,45497691.281666666,13414.785336666668,2870764348.5,2848015502.8333335,2893513194.0,6
150,506.69558136666666,0.032580780499042124,0.19159441366666666,45501581.145,16309.085643333334,2870760915.3333335,2848010124.8333335,2893511706.1666665,6
151,506.63585065,0.06758116323506132,0.18310118949999998,45496496.69,15586.117168333332,2870759925.6666665,2848011677.1666665,2893508174.0,6
152,506.6162495333333,0.08973270875025866,0.15115733833333334,45494828.18,12866.961656666666,2870761420.0,2848014006.0,2893508834.0,3
153,506.68613331666666,0.13115185341779784,0.16391820516666666,45500776.89666667,13953.204551666668,2870760956.8333335,2848010568.3333335,2893511345.1666665,6
154,506.7073732333333,0.08912999798283575,0.12794413516666667,45502584.90166666,10890.984875,2870760213.0,2848008920.3333335,2893511505.3333335,6
155,506.6838931,0.08567932737432035,0.13700523516666666,45500586.20333334,11662.292621499999,2870766557.0,2848016263.8333335,2893516850.1666665,6
156,506.738925025,0.027041071892514736,0.12320552025,45505270.6875,10487.61989225,2870761396.0,2848008760.75,2893514031.75,4
157,506.67182202000004,0.1910954679022079,0.15372051879999998,45499558.68,13085.1472194,2870762115.2,2848012336.0,2893511894.6,5
158,506.61120685,0.14214769081774828,0.1776146603333333,45494398.93666667,15119.087526666664,2870762693.3333335,2848015494.0,2893509893.0,6
159,506.59045136,0.07484091954354821,0.1516969332,45492632.166,12912.893588,2870760513.4,2848014197.6,2893506829.4,5
